species,site,colony,population,est_n_breeding_pairs,source_est_n_breeding_pairs
Procellaria cinerea,Prince Edward Islands,Fred's Hill Route,Prince Edward Islands,2500,Agreement on the Conservation of Albatrosses and Petrels. 2009. ACAP Species assessments: Grey Petrel Procellaria cinerea. Downloaded from http://www.acap.aq on 28 September 2021.
Pterodroma arminjoniana,Round Island,Round Island,Round Island,1000,"Brown, R. M. et al. Range expansion and hybridization in Round Island petrels (Pterodroma spp.): evidence from microsatellite genotypes. Molecular Ecology 19, 3157-3170. (2010)."
Pterodroma arminjoniana,Trindade Island,,Trindade Island,1228,"Krüger, L. et al. Population estimate of Trindade Petrel Pterodroma arminjoniana by the use of Predictive Nest Habitat Modelling. Bird Conservation International 28, 197-207. (2018)."
Pterodroma cookii,New Zealand,Codfish Island,Codfish Island,4956,"Miskelly, C. M., Gilad, D., Taylor, G. A., Tennyson, A. J. D. & Waugh, S. M. A Review of the distribution and size of gadfly petrel (Pterodroma spp.) colonies throughout New Zealand. Tuhinga 30: 99-177 (2019). "
Pterodroma cookii,New Zealand,Little Barrier Island,Little Barrier Island,286000,"Miskelly, C. M., Gilad, D., Taylor, G. A., Tennyson, A. J. D. & Waugh, S. M. A Review of the distribution and size of gadfly petrel (Pterodroma spp.) colonies throughout New Zealand. Tuhinga 30: 99-177 (2019). "
Pterodroma leucoptera,Cabbage Tree Island,Cabbage Tree Island,Cabbage Tree Island,823,"Priddel, D. & Carlile, N. Population size and breeding success of Gould’s petrel Pterodroma leucoptera leucoptera on Cabbage Tree Island, New South Wales: 1996–97 to 2005–06. Corella 31: 79-82 (2007)."
Pterodroma leucoptera,New Caledonia,New Caledonia,New Caledonia,5500,"Rayner, M. J. et al. Niche partitioning by three Pterodroma petrel species during non-breeding in the equatorial Pacific Ocean. MEPS 549, 217-229 (2016)."
Pterodroma mollis,Antipodes,Antipodes Islands,Antipodes,3000,"Miskelly, C. M., Gilad, D., Taylor, G. A., Tennyson, A. J. D. & Waugh, S. M. A Review of the distribution and size of gadfly petrel (Pterodroma spp.) colonies throughout New Zealand. Tuhinga 30: 99-177 (2019)."
Pterodroma mollis,Gough,Gough Island,Gough,400000,"Cuthbert, R. Breeding biology of the Atlantic Petrel, Pterodroma incerta, and a population estimate of this and other burrowing petrels on Gough Island, South Atlantic Ocean. Emu 104:221-228 (2004)."
Pterodroma nigripennis,Chatham Island,South East Island,Chatham Islands,47,"Miskelly, C. M., Gilad, D., Taylor, G. A., Tennyson, A. J. D. & Waugh, S. M. A Review of the distribution and size of gadfly petrel (Pterodroma spp.) colonies throughout New Zealand. Tuhinga 30: 99-177 (2019)."
Pterodroma nigripennis,Phillip Island (Norfolk Island),Phillip Island,Phillip Island,5500,"Priddel, D. et al. A review of the seabirds of Phillip Island in the Norfolk Island Group. Notornis 57, 113-127 (2010)."
Puffinus assimilis,Lord Howe Island,Lord Howe Island,Lord Howe Island,85,"Priddel, D., Hutton, I., Carlile, N. & Bester, A. Little shearwaters, Puffinus assimilis assimilis breeding on Lord Howe Island. Emu 103: 67-70 (2003)."
